	Hochschulkurzname	Hochschulname	WKR_NR	SPD_Name	SPD_Adr	CDU_Name	CDU_Adr	Green_Name	Green_Adr	FDP_Name	FDP_Adr	Linke_Name	Linke_Adr	AFD_Name	AFD_Adr	Hochschultyp	Trägerschaft	Bundesland
90	Clausthal TU	Technische Universität Clausthal	52.0	Frauke Heiligenstadt	frauke.heiligenstadt@bundestag.de	None	None	Karoline Otte	karo.otte@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
91	Coburg H	Hochschule für angewandte Wissenschaften Coburg	238.0	None	None	Dr. Jonas Geissler	jonas.geissler@bundestag.de	Johannes Wagner	johannes.wagner@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
92	Cottbus-Senftenberg TU	Brandenburgische Technische Universität Cottbus-Senftenberg	64.0	Maja Wallstein	maja.wallstein@bundestag.de	None	None	None	None	None	None	Christian Görke	christian.goerke@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Brandenburg
93	Darmstadt EvH	Evangelische Hochschule Darmstadt (staatlich anerkannt) – Kirchliche Körperschaft des öffentlichen Rechts	186.0	Andreas Larem	andreas.larem@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Hessen
94	Darmstadt FernH	Wilhelm Büchner Hochschule - Private Fernhochschule Darmstadt	186.0	Andreas Larem	andreas.larem@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
95	Darmstadt H	Hochschule Darmstadt	186.0	Andreas Larem	andreas.larem@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Hessen
96	Darmstadt TU	Technische Universität Darmstadt	186.0	Andreas Larem	andreas.larem@bundestag.de	None	None	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Hessen
97	Deggendorf TH	Technische Hochschule Deggendorf	227.0	Rita Hagl-Kehl	rita.hagl-kehl@bundestag.de	Thomas Erndl	thomas.erndl@bundestag.de	None	None	Muhanad Al-Halak	muhanad.al-halak@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
98	Detmold HfM	Hochschule für Musik Detmold	135.0	Jürgen Berghahn	juergen.berghahn@bundestag.de	Kerstin Vieregge	kerstin.vieregge@bundestag.de	Robin Wagener	robin.wagener@bundestag.de	Christian Sauter	christian.sauter@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Nordrhein-Westfalen
99	Dortmund FH	Fachhochschule Dortmund	142.0	Jens Peick	jens.peick@bundestag.de	None	None	Markus Kurth	markus.kurth@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
100	Dortmund ISM	International School of Management	142.0	Jens Peick	jens.peick@bundestag.de	None	None	Markus Kurth	markus.kurth@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
101	Dortmund TU	Technische Universität Dortmund	142.0	Jens Peick	jens.peick@bundestag.de	None	None	Markus Kurth	markus.kurth@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
102	Dresden DIU	DIU - Dresden International University GmbH	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Universitäten	privat, staatlich anerkannt	Sachsen
103	Dresden EvH	Evangelische Hochschule Dresden	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Sachsen
104	Dresden HfBK	Hochschule für Bildende Künste Dresden	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Sachsen
105	Dresden HfKiM	Hochschule für Kirchenmusik der Evangelisch-Lutherischen Landeskirche Sachsens	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Künstlerische Hochschulen	kirchlich, staatlich anerkannt	Sachsen
106	Dresden HfM	Hochschule für Musik Carl Maria von Weber Dresden	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Sachsen
107	Dresden HfTanz	Palucca Hochschule für Tanz Dresden	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Sachsen
108	Dresden HTW	Hochschule für Technik und Wirtschaft Dresden - University of Applied Sciences	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Sachsen
109	Dresden PFH	Fachhochschule Dresden	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Sachsen
110	Dresden TU	Technische Universität Dresden	159.0	Rasha Nasr	rasha.nasr@bundestag.de	Dr. Markus Reichel	markus.reichel@bundestag.de	Kassem Taher Saleh	kassem.tahersaleh@bundestag.de	Torsten Herbst	torsten.herbst@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Sachsen
111	Duisburg-Essen U	Universität Duisburg-Essen	119.0	Dirk Heidenblut	dirk.heidenblut@bundestag.de	None	None	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
112	Düsseldorf FliednerFH	Fliedner Fachhochschule Düsseldorf	106.0	Dr. Zanda Martens	zanda.martens@bundestag.de	Thomas Jarzombek	thomas.jarzombek@bundestag.de	None	None	Dr. Marie-Agnes Strack-Zimmermann	marie-agnes.strack-zimmermann@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
113	Düsseldorf H	Hochschule Düsseldorf	106.0	Dr. Zanda Martens	zanda.martens@bundestag.de	Thomas Jarzombek	thomas.jarzombek@bundestag.de	None	None	Dr. Marie-Agnes Strack-Zimmermann	marie-agnes.strack-zimmermann@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
114	Düsseldorf HfM	Robert-Schumann-Hochschule Düsseldorf	106.0	Dr. Zanda Martens	zanda.martens@bundestag.de	Thomas Jarzombek	thomas.jarzombek@bundestag.de	None	None	Dr. Marie-Agnes Strack-Zimmermann	marie-agnes.strack-zimmermann@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Nordrhein-Westfalen
115	Düsseldorf IST	IST-Hochschule für Management	106.0	Dr. Zanda Martens	zanda.martens@bundestag.de	Thomas Jarzombek	thomas.jarzombek@bundestag.de	None	None	Dr. Marie-Agnes Strack-Zimmermann	marie-agnes.strack-zimmermann@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
116	Düsseldorf KuAk	Kunstakademie Düsseldorf	106.0	Dr. Zanda Martens	zanda.martens@bundestag.de	Thomas Jarzombek	thomas.jarzombek@bundestag.de	None	None	Dr. Marie-Agnes Strack-Zimmermann	marie-agnes.strack-zimmermann@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Nordrhein-Westfalen
117	Düsseldorf U	Heinrich-Heine-Universität Düsseldorf	107.0	Andreas Rimkus	andreas.rimkus@bundestag.de	None	None	Sara Nanni	sara.nanni@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
118	Eberswalde H	Hochschule für nachhaltige Entwicklung Eberswalde	57.0	Stefan Zierke	stefan.zierke@bundestag.de	Jens Koeppen	jens.koeppen@bundestag.de	Michael Kellner	michael.kellner@bundestag.de	Friedhelm Boginski	friedhelm.boginski@bundestag.de	None	None	Hannes Gnauck	hannes.gnauck@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Brandenburg
119	Eichstätt - Ingolstadt U	Katholische Universität Eichstätt - Ingolstadt	216.0	None	None	Dr. Reinhard Brandl	reinhard.brandl@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	kirchlich, staatlich anerkannt	Bayern
120	Elmshorn FH Nordakademie	NORDAKADEMIE Hochschule der Wirtschaft	7.0	Dr. Ralf Stegner	ralf.stegner@bundestag.de	None	None	None	None	None	None	Cornelia Möhring	cornelia.moehring@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Schleswig-Holstein
121	Elstal ThH	Theologische Hochschule Elstal	58.0	Ariane Fäscher	ariane.faescher@bundestag.de	Uwe Feiler	uwe.feiler@bundestag.de	None	None	None	None	Anke Domscheit-Berg	anke.domscheit-berg@bundestag.de	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Brandenburg
122	Emden/Leer H	Hochschule Emden/Leer	24.0	Johann Saathoff	johann.saathoff@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Niedersachsen
123	Erfurt FH	Fachhochschule Erfurt	193.0	Carsten Schneider 	carsten.schneider@bundestag.de	Antje Tillmann	antje.tillmann@bundestag.de	Katrin Göring-Eckardt	katrin.goering-eckardt@bundestag.de	None	None	Susanne Hennig-Wellsow	susanne.hennig-wellsow@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Thüringen
124	Erfurt HMU	HMU Health and Medical University	193.0	Carsten Schneider 	carsten.schneider@bundestag.de	Antje Tillmann	antje.tillmann@bundestag.de	Katrin Göring-Eckardt	katrin.goering-eckardt@bundestag.de	None	None	Susanne Hennig-Wellsow	susanne.hennig-wellsow@bundestag.de	None	None	Hochschulen eigenen Typs	privat, staatlich anerkannt	Thüringen
125	Erfurt IU	IU Internationale Hochschule	193.0	Carsten Schneider 	carsten.schneider@bundestag.de	Antje Tillmann	antje.tillmann@bundestag.de	Katrin Göring-Eckardt	katrin.goering-eckardt@bundestag.de	None	None	Susanne Hennig-Wellsow	susanne.hennig-wellsow@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Thüringen
126	Erfurt U	Universität Erfurt	193.0	Carsten Schneider 	carsten.schneider@bundestag.de	Antje Tillmann	antje.tillmann@bundestag.de	Katrin Göring-Eckardt	katrin.goering-eckardt@bundestag.de	None	None	Susanne Hennig-Wellsow	susanne.hennig-wellsow@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Thüringen
127	Erlangen-Nürnberg U	Friedrich-Alexander-Universität Erlangen-Nürnberg	242.0	Martina Stamm-Fibich	martina.stamm-fibich@bundestag.de	Stefan Müller 	stefan.mueller@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Bayern
128	Essen FOM	FOM Hochschule für Oekonomie & Management - University of Applied Sciences	119.0	Dirk Heidenblut	dirk.heidenblut@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
129	Essen HBK	Hochschule der bildenden Künste (HBK) Essen	120.0	None	None	Matthias Hauer	matthias.hauer@bundestag.de	Kai Gehring	kai.gehring@bundestag.de	None	None	None	None	Stefan Keuter	stefan.keuter@bundestag.de	Künstlerische Hochschulen	privat, staatlich anerkannt	Nordrhein-Westfalen
130	Essen UdK	Folkwang Universität der Künste	120.0	None	None	Matthias Hauer	matthias.hauer@bundestag.de	Kai Gehring	kai.gehring@bundestag.de	None	None	None	None	Stefan Keuter	stefan.keuter@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Nordrhein-Westfalen
131	Esslingen H	Hochschule Esslingen	261.0	None	None	Markus Grübel	markus.gruebel@bundestag.de	Dr. Sebastian Schäfer	sebastian.schaefer@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
132	Ewersbach ThH	Theologisches Hochschule Ewersbach	172.0	Dagmar Schmidt 	dagmar.schmidt@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Hessen
133	Flensburg H	Hochschule Flensburg	1.0	None	None	Petra Nicolaisen	petra.nicolaisen@bundestag.de	Dr. Robert Habeck	robert.habeck@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Schleswig-Holstein
134	Flensburg U	Europa-Universität Flensburg	1.0	None	None	Petra Nicolaisen	petra.nicolaisen@bundestag.de	Dr. Robert Habeck	robert.habeck@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Schleswig-Holstein
135	Frankfurt am Main FH	Frankfurt University of Applied Sciences	183.0	Kaweh Mansoori	kaweh.mansoori@bundestag.de	None	None	Omid Nouripour	omid.nouripour@bundestag.de	Dr. Thorsten Lieb	thorsten.lieb@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Hessen
136	Frankfurt am Main FHProvadis	Provadis School of International Management and Technology	182.0	Armand Zorn	armand.zorn@bundestag.de	None	None	Deborah Düring	deborah.duering@bundestag.de	None	None	Janine Wissler	janine.wissler@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
137	Frankfurt am Main FSFM	Frankfurt School of Finance & Management	183.0	Kaweh Mansoori	kaweh.mansoori@bundestag.de	None	None	Omid Nouripour	omid.nouripour@bundestag.de	Dr. Thorsten Lieb	thorsten.lieb@bundestag.de	None	None	None	None	Universitäten	privat, staatlich anerkannt	Hessen
138	Frankfurt am Main HfBK	Hochschule für Bildende Künste (Städelschule)	183.0	Kaweh Mansoori	kaweh.mansoori@bundestag.de	None	None	Omid Nouripour	omid.nouripour@bundestag.de	Dr. Thorsten Lieb	thorsten.lieb@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Hessen
139	Frankfurt am Main HfM	Hochschule für Musik und Darstellende Kunst Frankfurt am Main	182.0	Armand Zorn	armand.zorn@bundestag.de	None	None	Deborah Düring	deborah.duering@bundestag.de	None	None	Janine Wissler	janine.wissler@bundestag.de	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Hessen
140	Frankfurt am Main PhThH	Philosophisch-Theologische Hochschule Sankt Georgen Frankfurt am Main	183.0	Kaweh Mansoori	kaweh.mansoori@bundestag.de	None	None	Omid Nouripour	omid.nouripour@bundestag.de	Dr. Thorsten Lieb	thorsten.lieb@bundestag.de	None	None	None	None	Universitäten	kirchlich, staatlich anerkannt	Hessen
141	Frankfurt am Main U	Johann Wolfgang Goethe-Universität, Frankfurt am Main	182.0	Armand Zorn	armand.zorn@bundestag.de	None	None	Deborah Düring	deborah.duering@bundestag.de	None	None	Janine Wissler	janine.wissler@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Hessen
142	Frankfurt am Main UoL	University of Labour	182.0	Armand Zorn	armand.zorn@bundestag.de	None	None	Deborah Düring	deborah.duering@bundestag.de	None	None	Janine Wissler	janine.wissler@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
143	Frankfurt (Oder) U	Europa-Universität Viadrina Frankfurt (Oder)	63.0	Mathias Papendieck	mathias.papendieck@bundestag.de	None	None	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Brandenburg
144	Freiberg TUBergAk	Technische Universität Bergakademie Freiberg	161.0	None	None	None	None	None	None	Philipp Hartewig	philipp.hartewig@bundestag.de	None	None	Carolin Bachmann	carolin.bachmann@bundestag.de	Universitäten	öffentlich-rechtlich	Sachsen
145	Freiburg EvHS	Evangelische Hochschule Freiburg, staatlich anerkannte Hochschule der Evangelischen Landeskirche in Baden	281.0	None	None	None	None	Chantal Kopf	chantal.kopf@bundestag.de	Claudia Raffelhüschen	claudia.raffelhueschen@bundestag.de	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Baden-Württemberg
146	Freiburg HfM	Hochschule für Musik Freiburg	281.0	None	None	None	None	Chantal Kopf	chantal.kopf@bundestag.de	Claudia Raffelhüschen	claudia.raffelhueschen@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Baden-Württemberg
147	Freiburg KathHS	Katholische Hochschule Freiburg, staatlich anerkannte Hochschule - Catholic University of Applied Sciences	281.0	None	None	None	None	Chantal Kopf	chantal.kopf@bundestag.de	Claudia Raffelhüschen	claudia.raffelhueschen@bundestag.de	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Baden-Württemberg
148	Freiburg PH	Pädagogische Hochschule Freiburg	281.0	None	None	None	None	Chantal Kopf	chantal.kopf@bundestag.de	Claudia Raffelhüschen	claudia.raffelhueschen@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Baden-Württemberg
149	Freiburg U	Albert-Ludwigs-Universität Freiburg im Breisgau	281.0	None	None	None	None	Chantal Kopf	chantal.kopf@bundestag.de	Claudia Raffelhüschen	claudia.raffelhueschen@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Baden-Württemberg
150	Friedensau ThH	Theologische Hochschule Friedensau	67.0	Dr. Franziska Kersten	franziska.kersten@bundestag.de	None	None	None	None	None	None	None	None	Jan Wenzel Schmidt	jan-wenzel.schmidt@bundestag.de	Universitäten	kirchlich, staatlich anerkannt	Sachsen-Anhalt
151	Friedrichshafen ZU	Zeppelin Universität - Hochschule zwischen Wirtschaft, Kultur und Politik		None	None	None	None	None	None	None	None	None	None	None	None	Universitäten	privat, staatlich anerkannt	Baden-Württemberg
152	Fulda H	Hochschule Fulda - University of Applied Sciences	174.0	None	None	Michael Brand 	michael.brand@bundestag.de	None	None	Jürgen Lenders	juergen.lenders@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Hessen
153	Fulda ThFak	Theologische Fakultät Fulda	174.0	None	None	Michael Brand 	michael.brand@bundestag.de	None	None	Jürgen Lenders	juergen.lenders@bundestag.de	None	None	None	None	Universitäten	kirchlich, staatlich anerkannt	Hessen
154	Fürth WLH	SRH Wilhelm Löhe Hochschule	243.0	Carsten Träger	carsten.traeger@bundestag.de	Tobias Winkler	tobias.winkler@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Bayern
155	Furtwangen H	Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit	286.0	Derya Türk-Nachbaur	derya.tuerk-nachbaur@bundestag.de	Thorsten Frei	thorsten.frei@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
156	Geisenheim H	Hochschule Geisenheim	178.0	None	None	Klaus-Peter Willsch	klaus-peter.willsch@bundestag.de	Dr. Anna Lührmann	anna.luehrmann@bundestag.de	Alexander Müller	alexander.mueller@bundestag.de	None	None	None	None	Hochschulen eigenen Typs	öffentlich-rechtlich	Hessen
157	Gera-Eisenach DH	Duale Hochschule Gera-Eisenach	194.0	Elisabeth Kaiser	elisabeth.kaiser@bundestag.de	None	None	None	None	None	None	None	None	Stephan Brandner	stephan.brandner@bundestag.de	Hochschulen eigenen Typs	öffentlich-rechtlich	Thüringen
158	Gera H	SRH Hochschule für Gesundheit	194.0	Elisabeth Kaiser	elisabeth.kaiser@bundestag.de	None	None	None	None	None	None	None	None	Stephan Brandner	stephan.brandner@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Thüringen
159	Giessen FThH	Freie Theologische Hochschule Gießen	173.0	Felix Döring	felix.doering@bundestag.de	Prof. Dr. Helge Braun	helge.braun@bundestag.de	None	None	None	None	Ali Al-Dailami	ali.al-dailami@bundestag.de	Uwe Schulz	uwe.schulz@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
160	Giessen U	Justus-Liebig-Universität Gießen	173.0	Felix Döring	felix.doering@bundestag.de	Prof. Dr. Helge Braun	helge.braun@bundestag.de	None	None	None	None	Ali Al-Dailami	ali.al-dailami@bundestag.de	Uwe Schulz	uwe.schulz@bundestag.de	Universitäten	öffentlich-rechtlich	Hessen
161	Göttingen PFH	PFH - Private Hochschule Göttingen	53.0	None	None	Fritz Güntzler	fritz.guentzler@bundestag.de	Jürgen Trittin	juergen.trittin@bundestag.de	Konstantin Kuhle	konstantin.kuhle@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Niedersachsen
162	Göttingen U	Georg-August-Universität Göttingen	53.0	None	None	Fritz Güntzler	fritz.guentzler@bundestag.de	Jürgen Trittin	juergen.trittin@bundestag.de	Konstantin Kuhle	konstantin.kuhle@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
163	Greifswald U	Universität Greifswald	15.0	Anna Kassautzki	anna.kassautzki@bundestag.de	None	None	Claudia Müller	claudia.mueller@bundestag.de	None	None	None	None	Leif-Erik Holm	leif-erik.holm@bundestag.de	Universitäten	öffentlich-rechtlich	Mecklenburg-Vorpommern
164	Hachenburg HBundesbank (Verw)	Hochschule der Deutschen Bundesbank	204.0	Dr. Tanja Machalet	tanja.machalet@bundestag.de	None	None	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Rheinland-Pfalz
165	Hagen FernU	FernUniversität in Hagen	138.0	Timo Schisanowski	timo.schisanowski@bundestag.de	None	None	Dr. Janosch Dahmen	janosch.dahmen@bundestag.de	Katrin Helling-Plahr	katrin.helling-plahr@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
166	Halle HfKiM	Evangelische Hochschule für Kirchenmusik	72.0	Dr. Karamba Diaby	karamba.diaby@bundestag.de	None	None	None	None	None	None	Dr. Petra Sitte	petra.sitte@bundestag.de	None	None	Künstlerische Hochschulen	kirchlich, staatlich anerkannt	Sachsen-Anhalt
167	Halle KuH	Burg Giebichenstein Kunsthochschule Halle	72.0	Dr. Karamba Diaby	karamba.diaby@bundestag.de	None	None	None	None	None	None	Dr. Petra Sitte	petra.sitte@bundestag.de	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Sachsen-Anhalt
168	Halle-Wittenberg U	Martin-Luther-Universität Halle-Wittenberg	72.0	Dr. Karamba Diaby	karamba.diaby@bundestag.de	None	None	None	None	None	None	Dr. Petra Sitte	petra.sitte@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Sachsen-Anhalt
169	Hamburg AkFinanz (Verw)	Norddeutsche Akademie für Finanzen und Steuerrecht	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Hamburg
170	Hamburg AkPol (Verw)	Akademie der Polizei Hamburg	21.0	Dorothee Martin	dorothee.martin@bundestag.de	Dr. Christoph Ploß	christoph.ploss@bundestag.de	Katharina Beck	katharina.beck@bundestag.de	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Hamburg
171	Hamburg BHH	Berufliche Hochschule Hamburg (BHH)	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Hochschulen eigenen Typs	öffentlich-rechtlich	Hamburg
172	Hamburg BLS	Bucerius Law School, Hochschule für Rechtswissenschaft	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	privat, staatlich anerkannt	Hamburg
173	Hamburg EFH	Europäische Fernhochschule Hamburg	22.0	Aydan Özoğuz	aydan.oezoguz@bundestag.de	Franziska Hoppermann	franziska.hoppermann@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hamburg
174	Hamburg EvH	Evangelische Hochschule für Soziale Arbeit & Diakonie	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Hamburg
175	Hamburg FernH	Hamburger Fern-Hochschule, gemeinnützige GmbH	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hamburg
176	Hamburg FHBrand	Brand University of Applied Sciences	19.0	None	None	None	None	Linda Heitmann	linda.heitmann@bundestag.de	None	None	None	None	Dr. Bernd Baumann	bernd.baumann@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Hamburg
177	Hamburg HAW	Hochschule für Angewandte Wissenschaften Hamburg	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Hamburg
178	Hamburg HCU	HafenCity Universität Hamburg	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Hamburg
179	Hamburg HfBK	Hochschule für Bildende Künste Hamburg	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Hamburg
180	Hamburg HfM	Hochschule für Musik und Theater Hamburg	20.0	Niels Annen	niels.annen@bundestag.de	None	None	Dr. Till Steffen	till.steffen@bundestag.de	None	None	Zaklin Nastic	zaklin.nastic@bundestag.de	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Hamburg
181	Hamburg HSBA	HSBA Hamburg School of Business Administration	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hamburg
182	Hamburg KLU	Kühne Logistics University - Wissenschaftliche Hochschule für Logistik und Unternehmensführung	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	privat, staatlich anerkannt	Hamburg
183	Hamburg MSH	MSH Medical School Hamburg - University of Applied Sciences and Medical University	18.0	Falko Droßmann	falko.drossmann@bundestag.de	Christoph de Vries	christoph.devries@bundestag.de	None	None	None	None	None	None	None	None	Hochschulen eigenen Typs	privat, staatlich anerkannt	Hamburg
